feature,mean_abs_shap
cat__cp_asymptomatic,0.0926725989487948
cat__cp_atypical angina,0.03767856955251235
num__oldpeak,0.03442151897508479
cat__sex_Male,0.026407652994364546
cat__exang_False,0.02378590978185727
num__thalch,0.022788710589620575
cat__exang_True,0.02106142925184342
num__age,0.020689395045406463
cat__sex_Female,0.019192013974383193
cat__thal_normal,0.010772139647090355
cat__thal_reversable defect,0.007478405535534233
cat__cp_non-anginal,0.006943988384823777
num__chol,0.0068261263112788465
cat__ca_0.0,0.005690534373624817
cat__slope_upsloping,0.0045340894982224935
num__trestbps,0.0034204441035817464
cat__fbs_True,0.00286430241353163
cat__fbs_False,0.0022915092311079446
cat__restecg_normal,0.0016795664760339188
cat__slope_flat,0.0012124200105304117
cat__restecg_st-t abnormality,0.0010638874232231812
cat__ca_1.0,0.0008370724014171267
cat__ca_3.0,0.0007656822586781492
cat__ca_2.0,0.000657125981465421
cat__restecg_lv hypertrophy,0.0005437040261917048
cat__cp_typical angina,0.00043028982839652286
cat__slope_downsloping,0.0004178748529323745
cat__thal_fixed defect,0.0
